Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
SP2,08/09/01,Albacete,Recreativo Huelva,0,0,D,0,0,D,,,,1.8,2.9,3.7,1.91,3.2,3.5,1.9,2.9,3.75
SP2,08/09/01,Atletico Madrid,Ferrol,1,1,D,0,1,A,,,,1.4,3.4,5.8,1.4,3.75,7,1.35,3.75,7.5
SP2,08/09/01,Elche,Levante,2,2,D,1,1,D,,,,2.2,2.8,2.8,2.25,3,2.88,2.25,2.8,3
SP2,08/09/01,Gimnastic,Jaen,0,2,A,0,0,D,,,,2.1,2.8,3,,,,2.4,2.8,2.75
SP2,08/09/01,Xerez,Badajoz,2,0,H,0,0,D,,,,,,,,,,,,
SP2,09/09/01,Cordoba,Salamanca,4,2,H,0,0,D,,,,2.3,2.8,2.6,2.25,2.88,3,2.2,2.9,2.95
SP2,09/09/01,Poli Ejido,Eibar,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.2,3,3,2.25,3,2.8
SP2,09/09/01,Extremadura,Racing Santander,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.38,2.9,2.75,2.35,2.85,2.75
SP2,09/09/01,Murcia,Leganes,0,0,D,0,0,D,,,,2,2.7,3.3,1.91,3,3.75,2,2.8,3.6
SP2,09/09/01,Numancia,Sporting Gijón,3,1,H,1,0,H,,,,1.8,2.9,3.7,1.83,3,4,1.8,3,4
SP2,09/09/01,Oviedo,Burgos,2,0,H,1,0,H,,,,1.65,2.9,4.2,1.53,3.5,5.5,1.6,3.3,4.75
SP2,15/09/01,Ferrol,Poli Ejido,2,1,H,0,1,A,,,,,,,,,,,,
SP2,15/09/01,Recreativo Huelva,Cordoba,2,1,H,0,0,D,,,,1.8,2.8,3.8,1.8,3.1,4,1.8,2.9,4.2
SP2,15/09/01,Salamanca,Elche,1,0,H,0,0,D,,,,1.75,2.8,4,1.67,3.25,4.5,1.75,3,4.3
SP2,16/09/01,Badajoz,Numancia,0,0,D,0,0,D,,,,2.3,2.7,2.7,2.38,2.88,2.8,2.5,2.8,2.6
SP2,16/09/01,Burgos,Extremadura,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.1,3,3.2,2.1,2.85,3.2
SP2,16/09/01,Eibar,Gimnastic,3,1,H,2,1,H,,,,1.8,2.8,3.8,1.8,3.1,4,,,
SP2,16/09/01,Jaen,Oviedo,1,3,A,1,1,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.4,2.8,2.75
SP2,16/09/01,Leganes,Atletico Madrid,0,3,A,0,2,A,,,,3,2.8,2.1,3.3,2.9,2.1,3.2,2.85,2.1
SP2,16/09/01,Levante,Murcia,0,0,D,0,0,D,,,,1.8,2.8,3.8,1.73,3.2,4.33,1.85,2.85,4
SP2,16/09/01,Racing Santander,Xerez,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.83,3,4,1.8,2.9,4.2
SP2,16/09/01,Sporting Gijón,Albacete,0,0,D,0,0,D,,,,2.1,2.8,3,1.91,3.1,3.6,2.1,2.7,3.4
SP2,22/09/01,Atletico Madrid,Levante,2,1,H,1,1,D,,,,1.45,3.2,5.5,,,,1.45,3.35,6.5
SP2,22/09/01,Extremadura,Jaen,5,0,H,2,0,H,,,,2,2.8,3.1,,,,2,2.85,3.45
SP2,23/09/01,Albacete,Badajoz,2,0,H,1,0,H,,,,1.8,2.7,3.9,,,,1.75,3,4.2
SP2,23/09/01,Cordoba,Sporting Gijón,1,2,A,1,2,A,,,,2.2,2.7,2.9,,,,2.15,2.85,3.05
SP2,23/09/01,Poli Ejido,Leganes,1,1,D,0,0,D,,,,2.3,2.7,2.7,,,,2.25,2.75,3
SP2,23/09/01,Elche,Recreativo Huelva,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,2.5,2.85,2.55
SP2,23/09/01,Murcia,Salamanca,3,3,D,2,2,D,,,,2.5,2.7,2.5,,,,2.45,2.75,2.7
SP2,23/09/01,Oviedo,Eibar,1,0,H,0,0,D,,,,1.55,3,5,,,,1.55,3.15,5.5
SP2,23/09/01,Racing Santander,Burgos,0,2,A,0,0,D,,,,1.75,3.1,3.6,,,,1.75,3.05,4.1
SP2,23/09/01,Xerez,Numancia,2,1,H,0,1,A,,,,2.2,2.8,2.8,,,,2.2,2.8,3
SP2,29/09/01,Badajoz,Cordoba,0,1,A,0,1,A,,,,2.1,2.7,3.1,2,2.88,3.6,2.2,2.7,3.2
SP2,29/09/01,Eibar,Extremadura,0,0,D,0,0,D,,,,2.2,2.8,2.8,2.25,3,2.88,2.2,2.9,3
SP2,29/09/01,Jaen,Racing Santander,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.25,2.85,2.9
SP2,29/09/01,Leganes,Gimnastic,2,1,H,2,0,H,,,,,,,1.83,3,4,1.75,3,4.3
SP2,29/09/01,Numancia,Albacete,1,0,H,1,0,H,,,,1.9,2.9,3.2,1.8,3.1,4,1.8,3,4
SP2,29/09/01,Recreativo Huelva,Murcia,0,1,A,0,1,A,,,,1.7,2.9,4,1.67,3.1,5,1.65,3.1,4.75
SP2,29/09/01,Salamanca,Atletico Madrid,0,0,D,0,0,D,,,,2.5,2.8,2.4,2.62,2.88,2.5,2.6,2.85,2.5
SP2,29/09/01,Sporting Gijón,Elche,0,1,A,0,0,D,,,,1.7,2.9,4,1.73,3.1,4.5,1.7,3.1,4.5
SP2,30/09/01,Burgos,Xerez,3,1,H,1,1,D,,,,2.1,2.8,3,1.91,3,3.75,2.1,2.8,3.3
SP2,30/09/01,Levante,Poli Ejido,0,0,D,0,0,D,,,,1.6,3,4.5,1.53,3.3,6,1.65,3,5
SP2,30/09/01,Ferrol,Oviedo,0,2,A,0,0,D,,,,2.45,2.7,2.55,2.5,2.88,2.62,2.5,2.75,2.7
SP2,02/10/01,Atletico Madrid,Recreativo Huelva,1,1,D,0,1,A,,,,1.5,3.2,5,,,,,,
SP2,03/10/01,Burgos,Jaen,0,0,D,0,0,D,,,,1.75,3,3.7,,,,1.72,2.87,4.75
SP2,03/10/01,Cordoba,Numancia,1,0,H,1,0,H,,,,2.2,2.8,2.8,,,,2.37,2.8,2.8
SP2,03/10/01,Poli Ejido,Salamanca,2,5,A,1,1,D,,,,2.8,2.8,2.2,,,,2.6,2.9,2.45
SP2,03/10/01,Elche,Badajoz,1,0,H,0,0,D,,,,1.9,2.8,3.3,,,,2,3,3.25
SP2,03/10/01,Extremadura,Ferrol,1,2,A,1,0,H,,,,1.8,2.8,3.7,,,,1.8,3,4
SP2,03/10/01,Gimnastic,Levante,1,0,H,0,0,D,,,,2.5,2.7,2.5,,,,2.5,2.9,2.5
SP2,03/10/01,Murcia,Sporting Gijón,3,1,H,1,0,H,,,,2.3,2.7,2.7,,,,2.25,2.87,2.87
SP2,03/10/01,Oviedo,Leganes,0,0,D,0,0,D,,,,1.5,3.2,5,,,,1.53,3.25,5.5
SP2,03/10/01,Racing Santander,Eibar,1,1,D,1,0,H,,,,1.75,2.9,3.8,,,,1.72,2.87,4.75
SP2,03/10/01,Xerez,Albacete,1,2,A,0,1,A,,,,2,2.8,3.1,,,,1.8,3,4
SP2,06/10/01,Jaen,Xerez,0,2,A,0,1,A,,,,2.1,2.8,3,2,3,3.4,2.35,2.8,2.8
SP2,06/10/01,Levante,Oviedo,0,0,D,0,0,D,,,,2.45,2.8,2.45,2.4,2.88,2.75,2.5,2.8,2.65
SP2,07/10/01,Albacete,Cordoba,0,0,D,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.85,2.95,3.85
SP2,07/10/01,Badajoz,Murcia,1,1,D,0,1,A,,,,2.1,2.8,3,2.1,2.88,3.3,2.2,2.75,3.15
SP2,07/10/01,Eibar,Burgos,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.2,3,3,2.6,2.7,2.6
SP2,07/10/01,Leganes,Extremadura,2,0,H,1,0,H,,,,2.3,2.7,2.7,2.25,2.88,3,2.45,2.75,2.75
SP2,07/10/01,Numancia,Elche,1,1,D,0,0,D,,,,1.7,2.9,4,1.8,3,4.33,1.7,3.05,4.5
SP2,07/10/01,Ferrol,Racing Santander,2,0,H,1,0,H,,,,2.2,2.7,2.7,2.25,2.88,3,2.3,2.7,3
SP2,07/10/01,Recreativo Huelva,Poli Ejido,1,0,H,1,0,H,,,,1.55,3.1,4.8,1.44,3.5,7,1.6,3,5.5
SP2,07/10/01,Salamanca,Gimnastic,3,3,D,1,3,A,,,,1.45,3.3,5.5,1.4,3.75,7,1.55,3.05,6
SP2,07/10/01,Sporting Gijón,Atletico Madrid,2,1,H,1,0,H,,,,2.6,2.7,2.4,2.62,2.88,2.5,2.75,2.85,2.35
SP2,13/10/01,Racing Santander,Leganes,3,1,H,1,0,H,,,,,,,1.8,3,4.33,1.9,2.85,3.85
SP2,13/10/01,Xerez,Cordoba,1,0,H,0,0,D,,,,,,,1.8,3.1,4,2,2.9,3.4
SP2,14/10/01,Atletico Madrid,Badajoz,1,0,H,0,0,D,,,,1.4,3.4,6,1.4,3.75,7,1.4,3.5,7.5
SP2,14/10/01,Burgos,Ferrol,2,4,A,1,2,A,,,,1.9,2.8,3.4,1.83,3,4,1.95,2.9,3.6
SP2,14/10/01,Poli Ejido,Sporting Gijón,2,2,D,0,1,A,,,,2.6,2.8,2.3,2.75,2.88,2.4,2.6,2.7,2.6
SP2,14/10/01,Elche,Albacete,1,0,H,1,0,H,,,,2.3,2.8,2.6,2.4,2.88,2.75,2.4,2.75,2.8
SP2,14/10/01,Extremadura,Levante,1,0,H,1,0,H,,,,1.9,2.8,3.4,2,3,3.4,1.95,2.9,3.6
SP2,14/10/01,Gimnastic,Recreativo Huelva,1,2,A,0,2,A,,,,2.6,2.7,2.4,,,,,,
SP2,14/10/01,Jaen,Eibar,0,0,D,0,0,D,,,,2,2.8,3.1,2,3,3.4,2,2.9,3.4
SP2,14/10/01,Murcia,Numancia,1,2,A,1,2,A,,,,2.2,2.8,2.8,2.3,2.88,2.9,2.3,2.7,3
SP2,14/10/01,Oviedo,Salamanca,0,0,D,0,0,D,,,,1.8,2.9,3.6,1.8,3.1,4,1.85,2.9,4
SP2,20/10/01,Cordoba,Elche,3,0,H,1,0,H,2.15,2.9,3.1,2.1,2.8,3,,,,2.1,2.9,3.2
SP2,20/10/01,Leganes,Burgos,0,0,D,0,0,D,2.4,2.85,2.75,2.3,2.7,2.7,,,,2.4,2.85,2.7
SP2,20/10/01,Ferrol,Jaen,0,1,A,0,0,D,1.75,3.1,4.2,1.7,2.9,4,,,,1.7,3.1,4.5
SP2,21/10/01,Albacete,Murcia,1,0,H,0,0,D,1.9,3,3.7,1.9,2.8,3.4,,,,1.85,3,3.8
SP2,21/10/01,Badajoz,Poli Ejido,0,1,A,0,0,D,2.05,2.9,3.35,2,2.7,3.3,,,,2.1,2.8,3.3
SP2,21/10/01,Eibar,Xerez,2,0,H,2,0,H,2.45,2.9,2.65,2.4,2.7,2.7,,,,2.5,2.65,2.75
SP2,21/10/01,Levante,Racing Santander,1,1,D,1,1,D,2.45,2.75,2.8,2.4,2.7,2.6,,,,2.5,2.7,2.75
SP2,21/10/01,Numancia,Atletico Madrid,1,2,A,0,1,A,2.55,2.8,2.6,2.5,2.7,2.5,,,,2.6,2.7,2.65
SP2,21/10/01,Recreativo Huelva,Oviedo,0,2,A,0,0,D,2.4,2.75,2.85,2.4,2.7,2.7,,,,2.35,2.75,2.9
SP2,21/10/01,Salamanca,Extremadura,0,0,D,0,0,D,1.8,2.9,4.3,1.8,2.8,3.7,,,,1.85,2.9,4
SP2,21/10/01,Sporting Gijón,Gimnastic,1,1,D,1,0,H,1.75,2.9,4.55,1.7,2.9,4,,,,1.7,3.1,4.5
SP2,27/10/01,Atletico Madrid,Albacete,3,2,H,1,1,D,1.55,3.25,5.5,1.55,3.1,4.8,1.57,3.25,5.5,1.6,3.25,5
SP2,27/10/01,Eibar,Ferrol,2,0,H,0,0,D,2.3,2.75,2.95,2.2,2.8,2.8,2.2,3,3,2.2,2.85,3
SP2,27/10/01,Poli Ejido,Numancia,3,4,A,1,2,A,2.77,2.75,2.42,2.7,2.7,2.3,2.75,2.88,2.4,2.9,2.75,2.35
SP2,27/10/01,Xerez,Elche,2,0,H,1,0,H,1.8,2.9,4.25,1.9,2.9,3.2,1.8,3.1,4,1.9,3,3.6
SP2,28/10/01,Burgos,Levante,0,1,A,0,1,A,1.65,3,5,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.25,4.5
SP2,28/10/01,Extremadura,Recreativo Huelva,0,3,A,0,3,A,2.1,2.9,3.15,2.1,2.8,3,,,,2.15,2.85,3.1
SP2,28/10/01,Gimnastic,Badajoz,1,1,D,0,0,D,1.9,2.8,3.9,2,2.8,3.1,1.91,3,3.75,2,3,3.3
SP2,28/10/01,Jaen,Leganes,1,0,H,1,0,H,2.05,2.85,3.3,2.1,2.8,3,2,2.88,3.6,2.1,2.9,3.2
SP2,28/10/01,Murcia,Cordoba,1,0,H,0,0,D,1.95,2.9,3.55,2,2.8,3.1,2,2.88,3.6,2.1,2.9,3.2
SP2,28/10/01,Oviedo,Sporting Gijón,0,2,A,0,1,A,1.65,3.2,4.5,1.7,2.9,4,1.67,3.25,4.5,1.75,3.2,4
SP2,28/10/01,Racing Santander,Salamanca,2,0,H,1,0,H,2.1,2.8,3.3,2,2.8,3.1,2.1,2.88,3.3,2.1,2.9,3.2
SP2,03/11/01,Albacete,Poli Ejido,2,1,H,2,0,H,1.65,3,5.4,1.5,3,5.3,1.5,3.4,6,1.6,2.85,6
SP2,03/11/01,Cordoba,Atletico Madrid,0,2,A,0,1,A,2.95,2.7,2.35,2.6,2.8,2.3,3,2.88,2.25,2.65,2.75,2.5
SP2,03/11/01,Leganes,Eibar,1,0,H,0,0,D,2.25,2.8,3.05,2.2,2.7,2.9,2.2,2.8,3.2,,,
SP2,03/11/01,Numancia,Gimnastic,0,0,D,0,0,D,,,,,,,,,,,,
SP2,03/11/01,Recreativo Huelva,Racing Santander,1,1,D,0,0,D,2.1,2.8,3.4,1.9,2.8,3.4,,,,,,
SP2,03/11/01,Sporting Gijón,Extremadura,1,1,D,1,1,D,2.05,2.85,3.4,1.9,2.8,3.4,,,,1.85,2.85,4
SP2,04/11/01,Badajoz,Oviedo,1,0,H,0,0,D,3.4,2.7,2.15,3.1,2.7,2.1,3.25,2.9,2.1,3.1,2.65,2.3
SP2,04/11/01,Elche,Murcia,1,1,D,1,0,H,2.15,2.8,3.3,2.1,2.7,3.1,2,2.88,3.6,2.15,2.75,3.25
SP2,04/11/01,Levante,Jaen,0,1,A,0,0,D,2.3,2.75,3,2.1,2.7,3.1,2.1,2.9,3.25,2.2,2.75,3.1
SP2,04/11/01,Ferrol,Xerez,2,2,D,0,2,A,2.2,2.8,3.1,2.1,2.8,3,2.1,3,3.2,2.2,2.75,3.1
SP2,04/11/01,Salamanca,Burgos,0,1,A,0,0,D,2.05,2.8,3.5,2,2.8,3.1,1.91,3.1,3.6,1.9,2.85,3.8
SP2,06/11/01,Poli Ejido,Cordoba,1,1,D,1,1,D,,,,,,,,,,,,
SP2,07/11/01,Atletico Madrid,Elche,4,0,H,2,0,H,1.4,3.75,6.5,1.35,3.5,7,1.36,3.75,8,1.45,3.5,6.25
SP2,07/11/01,Burgos,Recreativo Huelva,1,3,A,0,1,A,2.1,2.85,3.25,2.2,2.8,2.8,2.1,2.88,3.3,2.2,2.8,3.1
SP2,07/11/01,Eibar,Levante,7,0,H,4,0,H,1.71,2.95,4.7,1.65,2.9,4.4,1.73,3.1,4.5,1.8,3,4
SP2,07/11/01,Extremadura,Badajoz,0,4,A,0,1,A,1.65,3.05,5,1.65,2.9,4.4,1.67,3.1,5,1.7,3.1,4.5
SP2,07/11/01,Gimnastic,Albacete,0,1,A,0,1,A,2.57,2.85,2.52,2.45,2.8,2.45,2.62,2.88,2.5,2.7,2.85,2.4
SP2,07/11/01,Jaen,Salamanca,0,1,A,0,1,A,2.15,2.85,3.15,2.1,2.7,3.1,2.2,2.8,3.2,2.1,2.8,3.25
SP2,07/11/01,Oviedo,Numancia,0,0,D,0,0,D,1.85,2.8,4.2,1.9,2.8,3.4,1.8,3,4.33,1.9,2.8,4
SP2,07/11/01,Racing Santander,Sporting Gijón,2,1,H,1,0,H,1.97,3,3.4,2.1,2.8,3,2,2.9,3.5,2.05,2.75,3.5
SP2,07/11/01,Xerez,Murcia,3,1,H,0,0,D,1.65,3,5,1.6,3,4.6,1.73,3.1,4.5,1.75,3.1,4.2
SP2,08/11/01,Ferrol,Leganes,3,0,H,1,0,H,1.75,2.9,4.5,1.85,2.8,3.5,1.8,3,4.33,1.85,2.9,4
SP2,10/11/01,Sporting Gijón,Burgos,0,1,A,0,0,D,1.9,2.95,3.7,1.9,2.9,3.2,1.91,3,3.75,2,2.9,3.4
SP2,11/11/01,Albacete,Oviedo,1,1,D,0,0,D,2.2,2.8,3.1,2.2,2.8,2.8,2.25,2.8,3.1,2.25,2.8,3
SP2,11/11/01,Badajoz,Racing Santander,3,2,H,2,0,H,2.48,2.7,2.75,2.4,2.6,2.7,2.5,2.88,2.62,2.4,2.8,2.75
SP2,11/11/01,Cordoba,Gimnastic,1,1,D,0,0,D,1.68,3,4.8,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3,5
SP2,11/11/01,Elche,Poli Ejido,2,0,H,1,0,H,1.7,3,4.65,1.7,2.9,4,1.8,3.1,4,1.65,3,5
SP2,11/11/01,Leganes,Xerez,0,1,A,0,1,A,2.45,2.75,2.75,2.3,2.8,2.6,2.38,2.88,2.8,2.55,2.8,2.55
SP2,11/11/01,Levante,Ferrol,3,1,H,2,1,H,2.5,2.7,2.75,2.5,2.6,2.6,2.6,2.8,2.6,2.4,2.8,2.75
SP2,11/11/01,Murcia,Atletico Madrid,3,1,H,2,1,H,3.25,2.9,2.08,3.1,2.8,2,3.5,2.9,2,3.4,2.9,2
SP2,11/11/01,Numancia,Extremadura,0,0,D,0,0,D,1.82,2.95,4.05,1.8,2.8,3.7,1.8,3.1,4,1.8,3,4
SP2,11/11/01,Recreativo Huelva,Jaen,0,3,A,0,1,A,1.85,2.9,4,1.8,2.9,3.6,1.73,3.1,4.5,1.8,3,4
SP2,11/11/01,Salamanca,Eibar,1,0,H,1,0,H,1.98,2.85,3.6,1.9,2.8,3.4,2,2.9,3.5,2,2.85,3.5
SP2,14/11/01,Gimnastic,Ferrol,2,0,H,2,0,H,2.55,2.8,2.6,2.5,2.6,2.6,,,,2.7,2.7,2.55
SP2,17/11/01,Jaen,Sporting Gijón,3,3,D,2,0,H,2.05,2.8,3.45,2,2.8,3.1,2,2.88,3.6,2,2.8,3.6
SP2,17/11/01,Racing Santander,Numancia,4,0,H,2,0,H,2.1,2.8,3.4,2.1,2.8,3,2,2.88,3.6,2.1,2.8,3.3
SP2,18/11/01,Burgos,Badajoz,0,1,A,0,0,D,1.75,2.9,4.55,1.7,2.8,4.2,1.67,3.1,5,1.7,3,4.6
SP2,18/11/01,Eibar,Recreativo Huelva,1,1,D,0,1,A,2.3,2.75,3,2.2,2.7,2.9,2.2,2.8,3.2,,,
SP2,18/11/01,Poli Ejido,Murcia,0,0,D,0,0,D,2.6,2.7,2.65,2.5,2.6,2.6,2.6,2.7,2.7,2.6,2.6,2.7
SP2,18/11/01,Extremadura,Albacete,0,0,D,0,0,D,2.5,2.8,2.7,2.4,2.7,2.6,2.38,2.8,2.88,2.4,2.7,2.85
SP2,18/11/01,Gimnastic,Elche,1,2,A,1,1,D,2.5,2.7,2.8,2.4,2.7,2.6,2.3,2.8,3,2.35,2.7,2.9
SP2,18/11/01,Leganes,Levante,2,1,H,1,1,D,2,2.8,3.7,2,2.8,3.1,1.91,2.88,4,2.1,2.7,3.5
SP2,18/11/01,Oviedo,Cordoba,3,1,H,1,1,D,1.7,2.9,5,1.65,2.8,4.6,1.67,3.1,5,1.65,3,5
SP2,18/11/01,Ferrol,Salamanca,3,1,H,2,1,H,2.2,2.75,3.2,2.1,2.8,3,2.2,2.8,3.2,2.15,2.75,3.25
SP2,18/11/01,Xerez,Atletico Madrid,0,1,A,0,1,A,2.6,2.7,2.65,2.5,2.7,2.5,2.75,2.75,2.5,2.5,2.65,2.75
SP2,24/11/01,Atletico Madrid,Poli Ejido,1,0,H,1,0,H,1.25,4.45,8.95,1.3,3.8,7.5,,,,1.35,4,7
SP2,24/11/01,Cordoba,Extremadura,2,0,H,1,0,H,2.02,2.85,3.45,2.1,2.8,3,,,,2.1,2.9,3.2
SP2,24/11/01,Elche,Oviedo,2,0,H,0,0,D,2.58,2.75,2.6,2.5,2.6,2.6,,,,2.6,2.65,2.65
SP2,24/11/01,Recreativo Huelva,Ferrol,1,0,H,1,0,H,2.1,2.8,3.3,2.1,2.8,3,,,,2.1,2.8,3.3
SP2,25/11/01,Albacete,Racing Santander,0,1,A,0,0,D,1.9,2.85,3.85,2,2.8,3.1,,,,2,2.8,3.6
SP2,25/11/01,Badajoz,Jaen,1,0,H,1,0,H,2.22,2.85,3,2.2,2.8,2.8,,,,2.2,2.85,3
SP2,25/11/01,Levante,Xerez,0,1,A,0,0,D,2.7,2.8,2.45,2.7,2.6,2.4,,,,2.75,2.7,2.5
SP2,25/11/01,Murcia,Gimnastic,0,2,A,0,1,A,1.7,3,4.65,1.75,2.9,3.8,,,,1.8,3,4.1
SP2,25/11/01,Numancia,Burgos,1,5,A,1,3,A,2.25,2.8,3,2.2,2.8,2.8,,,,2.25,2.85,2.9
SP2,25/11/01,Salamanca,Leganes,1,0,H,1,0,H,1.8,2.85,4.35,1.8,2.8,3.7,,,,1.85,2.9,4
SP2,25/11/01,Sporting Gijón,Eibar,1,0,H,1,0,H,2.1,2.8,3.3,2.1,2.8,3,,,,2.1,2.8,3.3
SP2,01/12/01,Jaen,Numancia,1,2,A,0,2,A,2.1,2.8,3.3,2,2.7,3.3,1.91,3,3.75,2,2.85,3.5
SP2,01/12/01,Xerez,Poli Ejido,2,1,H,1,0,H,1.4,3.5,7.5,1.4,3.3,6.2,1.44,3.4,7,1.4,3.4,8
SP2,02/12/01,Burgos,Albacete,0,0,D,0,0,D,2.1,2.8,3.3,2,2.8,3.1,2,2.88,3.6,2,2.85,3.5
SP2,02/12/01,Eibar,Badajoz,0,1,A,0,1,A,1.95,2.8,3.8,2,2.7,3.3,2,2.8,3.75,2.1,2.75,3.4
SP2,02/12/01,Extremadura,Elche,1,0,H,1,0,H,2.3,2.6,3.2,2.3,2.7,2.7,2.2,2.88,3.1,2.3,2.7,3
SP2,02/12/01,Gimnastic,Atletico Madrid,1,2,A,0,0,D,3.9,3,1.85,3.5,2.8,1.85,4,3,1.83,3.6,3,1.9
SP2,02/12/01,Leganes,Recreativo Huelva,0,0,D,0,0,D,2.55,2.6,2.8,2.4,2.6,2.7,2.5,2.8,2.7,2.5,2.75,2.7
SP2,02/12/01,Levante,Salamanca,2,2,D,0,0,D,2.65,2.6,2.75,2.4,2.7,2.6,2.6,2.8,2.6,2.4,2.8,2.75
SP2,02/12/01,Oviedo,Murcia,2,0,H,1,0,H,1.7,2.9,5,1.7,2.9,4,1.73,3.1,4.5,1.7,2.9,5
SP2,02/12/01,Ferrol,Sporting Gijón,1,2,A,1,2,A,1.9,2.8,4,1.9,2.8,3.4,1.91,3,3.75,1.9,2.9,3.75
SP2,02/12/01,Racing Santander,Cordoba,2,0,H,1,0,H,1.7,2.9,5,1.65,2.9,4.4,1.73,3.1,4.5,1.65,3.1,4.8
SP2,08/12/01,Cordoba,Burgos,1,1,D,0,0,D,2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
SP2,08/12/01,Elche,Racing Santander,1,1,D,0,0,D,2.2,2.8,3.15,2.3,2.7,2.7,2.3,2.88,2.88,2.4,2.75,2.8
SP2,09/12/01,Albacete,Jaen,4,0,H,0,0,D,2.05,2.8,3.55,2.1,2.8,3,2,3,3.4,2.1,2.9,3.2
SP2,09/12/01,Atletico Madrid,Oviedo,0,0,D,0,0,D,1.62,3.2,5.1,1.65,2.9,4.4,1.67,3.1,5,1.7,3.1,4.5
SP2,09/12/01,Badajoz,Ferrol,2,1,H,1,0,H,2,2.8,3.7,2,2.8,3.1,2,2.8,3.75,2,2.85,3.5
SP2,09/12/01,Poli Ejido,Gimnastic,1,0,H,0,0,D,2.5,2.7,2.8,2.4,2.7,2.6,2.5,2.75,2.75,2.5,2.7,2.75
